Product link,Product title,Gender,Sales price,Color,Style code,No of reviews,Star rating,Description
https://www.nike.com/in/t/dunk-high-retro-shoes-xDdFSl/DV0822-100,Nike Dunk High Retro Premium,Men,  11 495.00, Summit White/Phantom/Pink Oxford/White, DV0822-100,0,0,"Quench your thirst for style with this salty take on the hoops original. Preserving everything you know best—era-echoing construction, ultra-padded design and nothin'but-net style—its cracked leather, salt-washed colours and weathered accents maintain its status as the coveted off-court shoe."
https://www.nike.com/in/t/air-force-1-07-shoes-7rsrjR/DV0804-200,Nike Air Force 1 '07,Men,  9 695.00, Khaki/White/White, DV0804-200,0,0,"The radiance lives on with the b-ball original. Crossing hardwood comfort with off-court flair, it puts a fresh spin on what you know best: era-echoing, '80s construction and nothing-but-net style."
https://www.nike.com/in/t/air-force-1-07-lv8-emb-shoes-rfzXL8/DV0787-100,Nike Air Force 1 '07 LV8 EMB,Men,  10 795.00, Summit White/Blue Whisper/Football Grey/White, DV0787-100,0,0,"Quench your thirst for style with this salty take on the hoops original. Preserving everything you know best—'80s construction, bold details and nothin'-but-net style—its cracked leather, salt-washed colours and weathered accents maintain its status as the coveted off-court shoe."
https://www.nike.com/in/t/air-force-1-07-shoes-hr5tH4/FD0654-100,Nike Air Force 1 '07,Men,  10 795.00, White/Wolf Grey/Metallic Silver/Picante Red, FD0654-100,2,5,"It doesn't get more legendary than this. Designed to turn heads, the Nike Air Force 1 '07 crosses hardwood comfort with off-court flair. Its crisp leather upper looks sleek and fresh, while lustrous Swoosh logos give off an almost iridescent look to add the perfect amount of flash to make you shine. Consider them a slam dunk."
https://www.nike.com/in/t/blazer-mid-77-se-shoes-V0BsBs/DV0797-100,Nike Blazer Mid '77 SE,Men,  9 695.00, Summit White/Phantom/Mica Green/White, DV0797-100,0,0,"Quench your thirst for style with this salty take on your tried-and-tested wardrobe staple. Preserving everything you love most—simple comfort and vintage style—its cracked material, salt-washed colours and weathered accents maintain its status as the go-to outfit completer. Lace up and perfect your look."
https://www.nike.com/in/t/air-jordan-1-mid-shoes-SQf7DM/DQ8426-014,Air Jordan 1 Mid,Men,  11 495.00, Cement Grey/True Blue/White, DQ8426-014,109,4.9,"Inspired by the original AJ1, this mid-top edition maintains the iconic look you love while choice colours and crisp leather give it a distinct identity."
https://www.nike.com/in/t/air-more-uptempo-96-shoes-5m1N9s/DV0819-001,Nike Air More Uptempo '96,Men,  15 995.00, Black/Multi-Colour/Cobalt Bliss/White, DV0819-001,0,0,"More than perhaps any other silhouette, the Air More Uptempo encapsulates '90s basketball flavour at its finest. Big and loud, the unapologetic design represents a hybrid of style and innovation that made major waves when it debuted—and still turns heads today. This crafted take keeps it simple and easy to style in classic black and white, while pops of blue add a breath of fresh air. Speaking of air, the graffiti-style AIR graphic (an off-court fave) extends down the midsole for extra punch. Visible Nike Air cushioning finishes it off, giving you the edge in comfort."
https://www.nike.com/in/t/court-vision-low-next-nature-shoes-N2fFHb/DH2987-100,Nike Court Vision Low Next Nature,Men,  4 995.00, White/White/White, DH2987-100,29,4.8,"In love with the classic look of '80s basketball but have a thing for the fast-paced culture of today's game? Meet the Nike Court Vision Low. A classic remixed with at least 20% recycled materials by weight, its crisp upper and stitched overlays keep the soul of the original style. The plush, low-cut collar keeps it sleek and comfortable for your world."
https://www.nike.com/in/t/air-max-90-shoes-K0Hf12/DQ4071-005,Nike Air Max 90,Men,  10 795.00, Black/Chlorophyll/Black, DQ4071-005,2,5,"Lace up and feel the legacy. Produced at the cross section of art, music and culture, this champion running shoe helped define the '90s. Worn by presidents, revolutionised through collabs and celebrated through rare colourways, its striking visuals, Waffle outsole and exposed Air cushioning keep it alive and well."
https://www.nike.com/in/t/air-force-1-07-shoes-WrLlWX/CW2288-111,Nike Air Force 1 '07,Men,  7 495.00, White/White, CW2288-111,1027,4.8,"The radiance lives on in the Nike Air Force 1 '07, the basketball original that puts a fresh spin on what you know best: durably stitched overlays, clean finishes and the perfect amount of flash to make you shine."
